dataset_name,dataset_version,experiment_fingerprint,topology_id,scenario_id,scenario_index,scenario_group_id,pair_id,source,destination,endpoint_pair_string,ranking_group_id,route_id,local_route_id,route_number,path_string,split,difficulty,hop_count,total_fibre_loss_db,maximum_link_loss_db,bottleneck_link_success_estimate,min_memory_requirement_margin,mean_reservation_occupancy_pre,fidelity_margin_estimate,deadline_margin_ms,route_degraded_link_fraction,route_contains_hotspot,effective_efficiency,coherence_time_s,feasible_label,success_probability,rollout_count,success_count,success_probability_wilson_lower,success_probability_wilson_upper
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_002,2,train_mesh_8node_multipair_01::scenario_002,pair_04,R2,R7,R2 -> R7,train_mesh_8node_multipair_01::scenario_002::pair_04,pair_04_route_03,route_03,3,R2 -> R4 -> R6 -> R7,train,moderate,3,8.353869595968595,3.23,0.1265661137939556,6,0.0,0.11794803899454798,8.726354544919982,0.3333333333333333,0,0.7297493561555969,0.08185659029252004,1,0.8,5,4,0.3755346297625253,0.9637758913675698
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_002,2,train_mesh_8node_multipair_01::scenario_002,pair_04,R2,R7,R2 -> R7,train_mesh_8node_multipair_01::scenario_002::pair_04,pair_04_route_04,route_04,4,R2 -> R5 -> R4 -> R3 -> R7,train,moderate,4,10.874265226938483,4.199999999999999,0.10123191333552327,2,0.1,0.04250439758829794,8.674377246078167,0.25,1,0.7297493561555969,0.08185659029252004,1,0.6,5,3,0.2307242812760128,0.882379225767352
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_003,3,train_mesh_8node_multipair_01::scenario_003,pair_01,R0,R7,R0 -> R7,train_mesh_8node_multipair_01::scenario_003::pair_01,pair_01_route_01,route_01,1,R0 -> R1 -> R3 -> R7,train,moderate,3,21.215268966687205,7.500347614485375,0.04584658188522723,6,0.0,0.15743418882031057,3.240338509239659,1.0,0,0.7181015425634896,0.46162778840916785,0,0.0,5,0,0.0,0.43448246478317476
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_003,3,train_mesh_8node_multipair_01::scenario_003,pair_01,R0,R7,R0 -> R7,train_mesh_8node_multipair_01::scenario_003::pair_01,pair_01_route_02,route_02,2,R0 -> R1 -> R4 -> R3 -> R7,train,moderate,4,19.55780829058629,7.500347614485375,0.04584658188522723,6,0.0,0.08199054741406053,3.070338509239659,0.5,0,0.7181015425634896,0.46162778840916785,0,0.0,5,0,0.0,0.43448246478317476
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_003,3,train_mesh_8node_multipair_01::scenario_003,pair_01,R0,R7,R0 -> R7,train_mesh_8node_multipair_01::scenario_003::pair_01,pair_01_route_03,route_03,3,R0 -> R2 -> R5 -> R6 -> R7,train,moderate,4,8.52,2.56,0.1430018722905697,2,0.1,0.08199054741406053,3.0351574706964906,0.0,1,0.7181015425634896,0.46162778840916785,1,0.8,5,4,0.3755346297625253,0.9637758913675698
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_003,3,train_mesh_8node_multipair_01::scenario_003,pair_01,R0,R7,R0 -> R7,train_mesh_8node_multipair_01::scenario_003::pair_01,pair_01_route_04,route_04,4,R0 -> R2 -> R4 -> R3 -> R7,train,moderate,4,14.780347614485375,7.500347614485375,0.04584658188522723,2,0.1,0.08199054741406053,3.0351574706964906,0.25,1,0.7181015425634896,0.46162778840916785,0,0.2,5,1,0.036224108632430085,0.6244653702374747
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_003,3,train_mesh_8node_multipair_01::scenario_003,pair_02,R0,R6,R0 -> R6,train_mesh_8node_multipair_01::scenario_003::pair_02,pair_02_route_01,route_01,1,R0 -> R2 -> R5 -> R6,train,moderate,3,6.31,2.56,0.1430018722905697,2,0.125,0.15743418882031057,3.1951574706964907,0.0,1,0.7181015425634896,0.46162778840916785,1,0.8,5,4,0.3755346297625253,0.9637758913675698
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_003,3,train_mesh_8node_multipair_01::scenario_003,pair_02,R0,R6,R0 -> R6,train_mesh_8node_multipair_01::scenario_003::pair_02,pair_02_route_02,route_02,2,R0 -> R1 -> R4 -> R6,train,moderate,3,13.087460676100916,6.857460676100915,0.053161307763695174,6,0.0,0.15743418882031057,3.1639909851506087,0.3333333333333333,0,0.7181015425634896,0.46162778840916785,0,0.4,5,2,0.11762077423264783,0.769275718723987
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_003,3,train_mesh_8node_multipair_01::scenario_003,pair_02,R0,R6,R0 -> R6,train_mesh_8node_multipair_01::scenario_003::pair_02,pair_02_route_03,route_03,3,R0 -> R2 -> R4 -> R6,train,moderate,3,8.31,3.23,0.12255801649181837,2,0.125,0.15743418882031057,3.1639909851506087,0.0,1,0.7181015425634896,0.46162778840916785,1,0.6,5,3,0.2307242812760128,0.882379225767352
sequence_8node_multi_pair_training,v2_top_quality,d677a141c87cd117422ee13171a80f9188a8f5ee7767e6e36180671dd1a4d564,train_mesh_8node_multipair_01,scenario_003,3,train_mesh_8node_multipair_01::scenario_003,pair_02,R0,R6,R0 -> R6,train_mesh_8node_multipair_01::scenario_003::pair_02,pair_02_route_04,route_04,4,R0 -> R1 -> R4 -> R5 -> R6,train,moderate,4,13.507460676100916,6.857460676100915,0.053161307763695174,6,0.0,0.08199054741406053,3.074411859591756,0.25,0,0.7181015425634896,0.46162778840916785,1,0.6,5,3,0.2307242812760128,0.882379225767352
